address_id,street,city,state
1,141 N. San Pablo Street,La Porte,TX
2,988 E. Courtland St.,Coppell,TX
3,9779 Blue Spring Street,Spring,TX
4,1109 Pine Grove Dr,Alpharetta,GA
5,1109 W 8th Ave,Cordele,GA
6,111 Brockinton Dr,Saint Simons Island,GA
7,5318 Oak Rd,Sebring,FL
8,805 La Paloma Rd,Key Largo,FL
9,905 Medford Pl,Lehigh Acres,FL
10,1563 Kerley Dr,San Jose,CA
11,3222 Pumpherston Way,San Jose,CA
12,7819 East Honey Creek Avenue,Anaheim,CA
13,6330 Caribou Dr,Clinton,OH
14,618 N Broadway St,Barnesville,OH
15,64205 Bull Run Rd,Saint Clairsville,OH
16,91 Carpenter Drive,Brooklyn,NY
17,233 Piper St,San Antonio,TX
18,415 Morgan Falls Rd,Atlanta,GA
19,536 14th St,Miami Beach,FL
20,111 Laseinega Blvd,Los Angeles,CA
21,18 LeBron St,Cleveland,OH
22,1 1st Street,New York,NY
